timestamp,ndolphin_net,tideheightfracchange,overheight
1675123260,0.0,-0.0009078531148881326,0.09082652134423251
1675123320,0.0,-0.0009086780612666179,0.09090909090909091
1675123380,0.0,-0.0009095045082306236,0.09099181073703366
1675123440,0.0,-0.0009103324598782475,0.09107468123861566
1675123500,0.0,-0.000911161920322523,0.09115770282588878
1675123560,0.0,-0.0009119928936914885,0.09124087591240876
1675123620,0.0,-0.0009128253841282546,0.09132420091324202
1675123680,0.0,-0.0009136593957910687,0.09140767824497258
1675123740,0.0,-0.000914494932853404,0.09149130832570906
1675123800,0.0,-0.000915331999504004,0.09157509157509157
1675123860,0.0,-0.0009161705999469528,0.09165902841429881
1675123920,0.0,-0.0009170107384017701,0.09174311926605504
1675123980,0.0,-0.0009178524191034625,0.09182736455463728
1675124040,0.0,-0.0009186956463025989,0.09191176470588235
1675124100,0.0,-0.0009195404242653832,0.09199632014719412
1675124160,0.0,-0.0009203867572737247,0.09208103130755065
1675124220,0.0,-0.0009212346496253117,0.09216589861751152
1675124280,0.0,-0.00046082949308755804,0.09225092250922509
1675124340,0.0,-0.0004612546125461259,0.09225092250922509
1675124400,0.0,-0.0009229351296283054,0.09233610341643582
1675124460,0.0,-0.0009237877259546332,0.09242144177449169
1675124520,0.0,-0.0009246418989742117,0.09250693802035152
1675124580,0.0,-0.0009254976530647214,0.09259259259259259
1675124640,0.0,-0.0009263549926200538,0.09267840593141799
1675124700,0.0,-0.0009272139220504118,0.0927643784786642
1675124760,0.0,-0.0009280744457823655,0.09285051067780874
1675124820,0.0,-0.000928936568258933,0.0929368029739777
1675124880,0.0,-0.0009298002939396567,0.09302325581395349
1675124940,0.0,-0.0009306656273006808,0.0931098696461825
1675125000,0.0,-0.0004655493482309129,0.09319664492078285
1675125060,0.0,-0.0004659832246039147,0.09319664492078285
1675125120,0.0,-0.0009324011350516762,0.09328358208955223
1675125180,0.0,-0.0009332713184776406,0.09337068160597571
1675125240,0.0,-0.0009341431276560478,0.09345794392523366
