,Datetime,Timestamp (sec),DNA (copies/uL) (ESP triplicate mean),N (dolphins),Tide height fractional change (unitless),Over height (1/m)
0,2023-01-30 23:41:12+00:00,1675122072,74.32333333333334,0.0,-0.05375194752691413,0.08918344835887554
1,2023-01-31 00:50:18+00:00,1675126218,120.30333333333334,0.8383333333333334,-0.04919275883860002,0.09458767806403356
2,2023-01-31 01:59:33+00:00,1675130373,698.2600000000001,1.0,-0.03063716156948368,0.09830592042053443
3,2023-01-31 03:09:15+00:00,1675134555,664.04,1.0,0.0031135154473684885,0.09804657785099319
4,2023-01-31 04:18:32+00:00,1675138712,1053.26,0.6911111111111111,0.031025645546705893,0.09474208363719194
5,2023-01-31 05:35:45+00:00,1675143345,85.07,0.5958333333333333,0.04650608585381472,0.08944792793083599
6,2023-01-31 06:45:12+00:00,1675147512,111.85333333333334,1.0,0.04705037740010867,0.08478355710455239
7,2023-01-31 07:54:27+00:00,1675151667,472.8866666666667,1.0,0.04081343105248454,0.080880073325935
8,2023-01-31 09:03:45+00:00,1675155825,139.64666666666665,1.0,0.029027148836253236,0.0781644998194294
9,2023-01-31 10:12:59+00:00,1675159979,96.95333333333332,1.0,0.014654564089188513,0.07683392841962085
10,2023-01-31 11:29:53+00:00,1675164593,44.60666666666666,1.0,0.0007974390036555304,0.07665743349221889
11,2023-01-31 12:39:19+00:00,1675168759,84.96333333333332,1.0,-0.009371322417019289,0.07743108726402761
12,2023-01-31 13:48:30+00:00,1675172910,180.90666666666667,1.0,-0.01429806717583269,0.07870309564929913
13,2023-01-31 14:57:43+00:00,1675177063,1026.1933333333334,1.0,-0.009673011924640176,0.07965255526172081
14,2023-01-31 16:07:12+00:00,1675181232,4580.87,1.0,0.002738905951373506,0.0794493401859109
15,2023-01-31 17:24:27+00:00,1675185867,2659.2433333333333,1.0,0.012370091766203684,0.07823049113145852
16,2023-01-31 18:33:57+00:00,1675190037,90.57,1.0,0.012733263485316353,0.07707456795823081
17,2023-01-31 19:43:23+00:00,1675194203,37.50333333333333,1.0,0.006549725259034684,0.07643315146973884
18,2023-01-31 20:52:38+00:00,1675198358,14970.963333333331,1.0,-0.007470694984311344,0.07695495516688426
19,2023-01-31 22:01:50+00:00,1675202510,3780.1366666666663,1.9694444444444446,-0.026674974238198323,0.07921972141213744
20,2023-01-31 23:19:02+00:00,1675207142,721.9766666666666,1.0,-0.04513202167833306,0.08401391714164871
21,2023-02-01 00:28:20+00:00,1675211300,194.23333333333332,1.0,-0.05378262494433367,0.0895366096518108
22,2023-02-01 01:37:27+00:00,1675215447,206.36666666666667,1.6241666666666665,-0.05089395536812511,0.09515223785958789
23,2023-02-01 02:46:41+00:00,1675219601,152.96,2.0,-0.032510745722767305,0.09907908166113202
24,2023-02-01 03:56:00+00:00,1675223760,85.62333333333333,2.0,-1.230159650247864e-05,0.09951571487858149
25,2023-02-01 05:13:10+00:00,1675228390,70.30666666666666,2.0,0.03564585995342051,0.09544007152041144
26,2023-02-01 06:22:16+00:00,1675232536,220.63666666666663,2.371111111111111,0.051053553251901855,0.09015722316244137
27,2023-02-01 07:31:29+00:00,1675236689,72565.93333333333,1.9505555555555556,0.05322175153391056,0.08490985573595083
28,2023-02-01 08:40:41+00:00,1675240841,7448.536666666667,1.0,0.0471765772507414,0.08044436793828232
29,2023-02-01 09:49:51+00:00,1675244991,1182.64,0.1691666666666667,0.033923096195621574,0.07727641134140496
30,2023-02-01 11:06:55+00:00,1675249615,282.39000000000004,0.0,0.01692979356308727,0.07542597629075616
31,2023-02-01 12:16:06+00:00,1675253766,837.4233333333333,0.0,0.002052345741968378,0.07521211687878354
32,2023-02-01 13:25:39+00:00,1675257939,295.29,0.4275,-0.010977086780658209,0.07613220367145919
33,2023-02-01 14:35:07+00:00,1675262107,142.35333333333332,1.0,-0.018592921686756705,0.07778132792103945
34,2023-02-01 15:44:33+00:00,1675266273,194.79,1.0,-0.01621074738888637,0.07931232046958911
35,2023-02-01 17:01:48+00:00,1675270908,6630.303333333333,1.0,-0.0020535110638925363,0.07978762362734501
36,2023-02-01 18:11:00+00:00,1675275060,6165.286666666667,1.0,0.009635177262334132,0.07892144026456124
37,2023-02-01 19:20:11+00:00,1675279211,6990.5233333333335,1.0,0.012601530736744214,0.07778012204241713
38,2023-02-01 20:29:17+00:00,1675283357,1054.6366666666663,1.0,0.007479405635143339,0.07707512457512458
39,2023-02-01 21:38:27+00:00,1675287507,389.1033333333333,1.0,-0.006007486882486883,0.07749850344208321
40,2023-02-01 22:55:17+00:00,1675292117,367.3733333333334,1.0,-0.02672028085403571,0.07988772340829862
41,2023-02-02 00:04:22+00:00,1675296262,486.43666666666667,1.0,-0.0440466943522275,0.08403232906694973
