"","hours_since_ESP_start","ESP_DNA_conc","model","sigma"
"1",0,1.4464393495,31.4573401137297,223.261635400486
"2",1.15166666666667,2.1203475715,17.0861307626678,116.80587211991
"3",2.30583333333333,13.89897022,13.3809584076658,89.0387311226758
"4",3.4675,10.58133583,11.9406488601695,78.3235259117279
"5",4.62222222222222,18.26744232,11.3322756870395,73.7965901193713
"6",5.90916666666667,1.540318358,7.66087603364671,49.368897645683
"7",7.06666666666667,2.670489979,9.44098732996175,61.167624987755
"8",8.22083333333333,8.292612075,10.133964851219,65.6289195231948
"9",9.37583333333333,1.6962007165,10.4471678100105,67.5933023789337
"10",10.5297222222222,1.052372849,10.6072368867084,68.574382276044
"11",11.8113888888889,0.512022689,10.6980325093208,69.1201355900047
"12",12.9686111111111,1.704114425,10.7543272564778,69.4532684082053
"13",14.1216666666667,2.0553801535,10.7919489752986,69.6732918790323
"14",15.2752777777778,13.41634178,10.8186953654719,69.8284047956157
"15",16.4333333333333,89.1845192,10.8386830291566,69.943664539092
"16",17.7208333333333,47.080179595,10.8542235065354,70.032951081018
"17",18.8791666666667,1.829655087,10.8666890249925,70.1044079733519
"18",20.0363888888889,1.0267517745,10.8769362150258,70.1630692023786
"19",21.1905555555556,220.05196535,10.8855246167161,70.2121968276955
"20",22.3438888888889,82.07231825,16.2772096630682,105.71367849472
"21",23.6305555555556,14.83829584,13.2697282446191,85.5719310374616
"22",24.7855555555556,2.326476145,12.0902988547659,77.838313428221
"23",25.9375,3.7386339905,13.8301114363908,89.3684545377048
"24",27.0913888888889,3.115834427,17.6853281724358,114.676408655366
"25",28.2466666666667,1.1261313675,19.4183695592388,125.815738493883
"26",29.5327777777778,1.5030409215,20.3014674186644,131.398803997626
"27",30.6844444444444,2.1027272105,20.7969363132176,134.490278446937
"28",31.8380555555556,1218.601538,23.6475914024299,153.140105643356
"29",32.9913888888889,117.0971031,17.02925590464,109.307625070165
"30",34.1441666666667,13.99774065,10.2615274709113,65.0189500037489
"31",35.4286111111111,5.34338331,5.75349916820167,35.8505973207389
"32",36.5816666666667,15.264759635,3.5459319378798,21.8184289288711
"33",37.7408333333333,5.69854636,2.91475523167747,18.0393629331701
"34",38.8986111111111,2.657329488,7.27840287778746,47.0106764879777
"35",40.0558333333333,3.793593812,9.08419808460349,58.768161605597
"36",41.3433333333333,103.3961563,9.92389610991424,64.1528524313279
"37",42.4966666666667,115.17424315,10.3500838909703,66.8531268666159
"38",43.6497222222222,162.2705948,10.581758179838,68.3069481543795
"39",44.8013888888889,43.06524086,10.7149124908567,69.1361022973529
"40",45.9541666666667,6.43390155,10.7950878300682,69.632243391117
"41",47.2347222222222,9.87543249,10.8453182061045,69.9414923618367
"42",48.3861111111111,10.00958185,10.8778906574227,70.141178690092
