"","hours_since_ESP_start","ESP_DNA_conc","model","sigma"
"1",0,74.3233333333333,99.9990677104763,282.581797830156
"2",1.15166666666667,120.303333333333,375.252484124024,1060.97060444533
"3",2.30583333333333,698.26,454.403759481692,1284.47050120691
"4",3.4675,664.04,482.580036599421,1363.88362226134
"5",4.62222222222222,1053.26,494.291468423325,1396.83182124702
"6",5.90916666666667,85.07,499.760504647681,1412.19463061535
"7",7.06666666666667,111.853333333333,502.557671226201,1420.04329949983
"8",8.22083333333333,472.886666666667,504.097057925296,1424.36007365192
"9",9.37583333333333,139.646666666667,504.996890477146,1426.88326063478
"10",10.5297222222222,96.9533333333333,505.550017721491,1428.43509507238
"11",11.8113888888889,44.6066666666667,505.904740818319,1429.43141434854
"12",12.9686111111111,84.9633333333333,506.14054748096,1430.09484393046
"13",14.1216666666667,180.906666666667,506.302180524687,1430.55057849003
"14",15.2752777777778,1026.19333333333,506.415922952711,1430.87211075934
"15",16.4333333333333,4580.87,506.497802417709,1431.10424221953
"16",17.7208333333333,2659.24333333333,506.557919872401,1431.27520906247
"17",18.8791666666667,90.57,506.602828869838,1431.40333968031
"18",20.0363888888889,37.5033333333333,506.636892201738,1431.50084653193
"19",21.1905555555556,14970.9633333333,506.663081341375,1431.57605846271
"20",22.3438888888889,3780.13666666667,506.683461743582,1431.63477475857
"21",23.6305555555556,721.976666666667,506.699495455159,1431.68110899857
"22",24.7855555555556,194.233333333333,506.712234443102,1431.71802801355
"23",25.9375,206.366666666667,506.722446850446,1431.74770387162
"24",27.0913888888889,152.96,506.73070111019,1431.77174846258
"25",28.2466666666667,85.6233333333333,506.737423008719,1431.79137275399
"26",29.5327777777778,70.3066666666667,506.742935042934,1431.80749674631
"27",30.6844444444444,220.636666666667,506.747483978163,1431.82082656901
"28",31.8380555555556,72565.9333333333,506.751260413091,1431.83190930712
"29",32.9913888888889,7448.53666666667,506.754412847799,1431.84117250059
"30",34.1441666666667,1182.64,506.757057918601,1431.84895294372
"31",35.4286111111111,282.39,506.759287925276,1431.85551791658
"32",36.5816666666667,837.423333333333,506.761176422931,1431.86108099764
"33",37.7408333333333,295.29,506.762782415089,1431.865813953
"34",38.8986111111111,142.353333333333,506.764153525438,1431.86985575459
"35",40.0558333333333,194.79,506.765328416615,1431.87331947718
"36",41.3433333333333,6630.30333333333,506.766338648929,1431.87629761354
"37",42.4966666666667,6165.28666666667,506.767210118967,1431.87886620015
"38",43.6497222222222,6990.52333333333,506.767964180592,1431.88108804125
"39",44.8013888888889,1054.63666666667,506.76861852403,1431.8830152442
"40",45.9541666666667,389.103333333333,506.76918786943,1431.88469122523
"41",47.2347222222222,367.373333333333,506.769684517171,1431.88615230522
"42",48.3861111111111,486.436666666667,506.770118786899,1431.88742898595
